Owner,Name,AttrType,Visibility,True,Value,Redefines
Observations::SampleTypes::LinearForce,units,DataTypes::UnitEnum,public,true,NEWTON,Observations::Observation::units
Observations::SampleTypes::LinearForce,type,DataTypes::DataItemTypeEnum,public,true,LINEAR_FORCE,Observations::Observation::type
Observations::EventTypes::LineLabel,type,DataTypes::DataItemTypeEnum,public,true,LINE_LABEL,Observations::Observation::type
Observations::EventTypes::LineNumber,type,DataTypes::DataItemTypeEnum,public,true,LINE_NUMBER,Observations::Observation::type
Observations::EventTypes::AbsoluteLineNumber,subType,DataTypes::DataItemSubTypeEnum,public,true,ABSOLUTE,Observations::Observation::subType
Observations::EventTypes::IncrementalLineNumber,subType,DataTypes::DataItemSubTypeEnum,public,true,INCREMENTAL,Observations::Observation::subType
Observations::SampleTypes::Load,units,DataTypes::UnitEnum,public,true,PERCENT,Observations::Observation::units
Observations::SampleTypes::Load,type,DataTypes::DataItemTypeEnum,public,true,LOAD,Observations::Observation::type
Observations::ConditionTypes::LogicProgram,type,DataTypes::DataItemTypeEnum,public,true,LOGIC_PROGRAM,Observations::Observation::type
Observations::SampleTypes::Mass,units,DataTypes::UnitEnum,public,true,KILOGRAM,Observations::Observation::units
Observations::SampleTypes::Mass,type,DataTypes::DataItemTypeEnum,public,true,MASS,Observations::Observation::type
Observations::EventTypes::Material,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL,Observations::Observation::type
Observations::EventTypes::MaterialChange,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL_CHANGE,Observations::Observation::type
Observations::EventTypes::MaterialFeed,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL_FEED,Observations::Observation::type
Observations::EventTypes::MaterialLayer,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL_LAYER,Observations::Observation::type
Observations::EventTypes::ActualMaterialLayer,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::EventTypes::TargetMaterialLayer,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::EventTypes::MaterialLoad,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL_LOAD,Observations::Observation::type
Observations::EventTypes::MaterialRetract,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL_RETRACT,Observations::Observation::type
Observations::EventTypes::MaterialUnload,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL_UNLOAD,Observations::Observation::type
Observations::EventTypes::Message,type,DataTypes::DataItemTypeEnum,public,true,MESSAGE,Observations::Observation::type
Observations::ConditionTypes::MotionProgram,type,DataTypes::DataItemTypeEnum,public,true,MOTION_PROGRAM,Observations::Observation::type
Observations::EventTypes::OpenChuck,type,DataTypes::DataItemTypeEnum,public,true,OPEN_CHUCK,Observations::Observation::type
Observations::EventTypes::OpenDoor,type,DataTypes::DataItemTypeEnum,public,true,OPEN_DOOR,Observations::Observation::type
Observations::EventTypes::OperatorId,type,DataTypes::DataItemTypeEnum,public,true,OPERATOR_ID,Observations::Observation::type
Observations::EventTypes::PalletId,type,DataTypes::DataItemTypeEnum,public,true,PALLET_ID,Observations::Observation::type
Observations::EventTypes::PartChange,type,DataTypes::DataItemTypeEnum,public,true,PART_CHANGE,Observations::Observation::type
Observations::EventTypes::PartCount,type,DataTypes::DataItemTypeEnum,public,true,PART_COUNT,Observations::Observation::type
Observations::EventTypes::AllPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,ALL,Observations::Observation::subType
Observations::EventTypes::GoodPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,GOOD,Observations::Observation::subType
Observations::EventTypes::BadPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,BAD,Observations::Observation::subType
Observations::EventTypes::TargetPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::EventTypes::RemainingPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,REMAINING,Observations::Observation::subType
Observations::EventTypes::PartDetect,type,DataTypes::DataItemTypeEnum,public,true,PART_DETECT,Observations::Observation::type
Observations::EventTypes::PartId,type,DataTypes::DataItemTypeEnum,public,true,PART_ID,Observations::Observation::type
Observations::EventTypes::PartNumber,type,DataTypes::DataItemTypeEnum,public,true,PART_NUMBER,Observations::Observation::type
Observations::SampleTypes::PathFeedrate,units,DataTypes::UnitEnum,public,true,MILLIMETER/SECOND,Observations::Observation::units
Observations::SampleTypes::PathFeedrate,type,DataTypes::DataItemTypeEnum,public,true,PATH_FEEDRATE,Observations::Observation::type
Observations::SampleTypes::ActualPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::JogPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,JOG,Observations::Observation::subType
Observations::SampleTypes::ProgrammedPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::SampleTypes::RapidPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,RAPID,Observations::Observation::subType
Observations::SampleTypes::OverridePathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,OVERRIDE,Observations::Observation::subType
Observations::EventTypes::PathFeedrateOverride,type,DataTypes::DataItemTypeEnum,public,true,PATH_FEEDRATE_OVERRIDE,Observations::Observation::type
Observations::EventTypes::JogPathFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,JOG,Observations::Observation::subType
Observations::EventTypes::ProgrammedPathFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::EventTypes::RapidPathFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,RAPID,Observations::Observation::subType
Observations::SampleTypes::PathFeedratePerRevolution,units,DataTypes::UnitEnum,public,true,MILLIMETER/REVOLUTION,Observations::Observation::units
Observations::SampleTypes::PathFeedratePerRevolution,type,DataTypes::DataItemTypeEnum,public,true,PATH_FEEDRATE_PER_REVOLUTION,Observations::Observation::type
Observations::SampleTypes::ActualPathFeedratePerRevolution,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedPathFeedratePerRevolution,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::ProgrammedPathFeedratePerRevolution,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::EventTypes::PathMode,type,DataTypes::DataItemTypeEnum,public,true,PATH_MODE,Observations::Observation::type
Observations::EventTypes::PathMode,value,Observations::EventTypes::PathModeEnum,public,false,,Observations::Observation::result
Observations::SampleTypes::PathPosition,units,DataTypes::UnitEnum,public,true,MILLIMETER_3D,Observations::Observation::units
Observations::SampleTypes::PathPosition,type,DataTypes::DataItemTypeEnum,public,true,PATH_POSITION,Observations::Observation::type
Observations::SampleTypes::ActualPathPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedPathPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::TargetPathPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::SampleTypes::ProbePathPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,PROBE,Observations::Observation::subType
Observations::SampleTypes::PH,units,DataTypes::UnitEnum,public,true,PH,Observations::Observation::units
Observations::SampleTypes::PH,type,DataTypes::DataItemTypeEnum,public,true,PH,Observations::Observation::type
Observations::SampleTypes::Position,units,DataTypes::UnitEnum,public,true,MILLIMETER,Observations::Observation::units
Observations::SampleTypes::Position,type,DataTypes::DataItemTypeEnum,public,true,POSITION,Observations::Observation::type
Observations::SampleTypes::ActualPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::ProgrammedPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::SampleTypes::TargetPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::SampleTypes::PowerFactor,units,DataTypes::UnitEnum,public,true,PERCENT,Observations::Observation::units
Observations::SampleTypes::PowerFactor,type,DataTypes::DataItemTypeEnum,public,true,POWER_FACTOR,Observations::Observation::type
Observations::EventTypes::PowerState,type,DataTypes::DataItemTypeEnum,public,true,POWER_STATE,Observations::Observation::type
Observations::EventTypes::PowerState,value,Observations::EventTypes::ControllerModeOverrideEnum,public,false,,Observations::Observation::result
Observations::EventTypes::LinePowerState,subType,DataTypes::DataItemSubTypeEnum,public,true,LINE,Observations::Observation::subType
Observations::EventTypes::ControlPowerState,subType,DataTypes::DataItemSubTypeEnum,public,true,CONTROL,Observations::Observation::subType
Observations::EventTypes::PowerStatus,type,DataTypes::DataItemTypeEnum,public,true,POWER_STATUS,Observations::Observation::type
Observations::SampleTypes::Pressure,units,DataTypes::UnitEnum,public,true,PASCAL,Observations::Observation::units
Observations::SampleTypes::Pressure,type,DataTypes::DataItemTypeEnum,public,true,PRESSURE,Observations::Observation::type
Observations::EventTypes::ProcessTime,type,DataTypes::DataItemTypeEnum,public,true,PROCESS_TIME,Observations::Observation::type
Observations::EventTypes::StartProcessTime,subType,DataTypes::DataItemSubTypeEnum,public,true,START,Observations::Observation::subType
Observations::EventTypes::CompleteProcessTime,subType,DataTypes::DataItemSubTypeEnum,public,true,COMPLETE,Observations::Observation::subType
Observations::EventTypes::TargetCompletionProcessTime,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET_COMPLETION,Observations::Observation::subType
Observations::SampleTypes::ProcessTimer,units,DataTypes::UnitEnum,public,true,SECOND,Observations::Observation::units
Observations::SampleTypes::ProcessTimer,type,DataTypes::DataItemTypeEnum,public,true,PROCESS_TIMER,Observations::Observation::type
Observations::SampleTypes::ProcessProcessTimer,subType,DataTypes::DataItemSubTypeEnum,public,true,PROCESS,Observations::Observation::subType
Observations::SampleTypes::DelayProcessTimer,subType,DataTypes::DataItemSubTypeEnum,public,true,DELAY,Observations::Observation::subType
Observations::EventTypes::Program,type,DataTypes::DataItemTypeEnum,public,true,PROGRAM,Observations::Observation::type
Observations::EventTypes::ProgramComment,type,DataTypes::DataItemTypeEnum,public,true,PROGRAM_COMMENT,Observations::Observation::type
Observations::EventTypes::ProgramEdit,type,DataTypes::DataItemTypeEnum,public,true,PROGRAM_EDIT,Observations::Observation::type
Observations::EventTypes::ProgramEdit,value,Observations::EventTypes::ProgramEditEnum,public,false,,Observations::Observation::result
Observations::EventTypes::ProgramEditName,type,DataTypes::DataItemTypeEnum,public,true,PROGRAM_EDIT_NAME,Observations::Observation::type
Observations::EventTypes::ProgramHeader,type,DataTypes::DataItemTypeEnum,public,true,PROGRAM_HEADER,Observations::Observation::type
Observations::EventTypes::ProgramLocation,type,DataTypes::DataItemTypeEnum,public,true,PROGRAM_LOCATION,Observations::Observation::type
Observations::EventTypes::ScheduleProgramLocation,subType,DataTypes::DataItemSubTypeEnum,public,true,SCHEDULE,Observations::Observation::subType
Observations::EventTypes::MainProgramLocation,subType,DataTypes::DataItemSubTypeEnum,public,true,MAIN,Observations::Observation::subType
Observations::EventTypes::ActiveProgramLocation,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTIVE,Observations::Observation::subType
Observations::EventTypes::ProgramLocationType,type,DataTypes::DataItemTypeEnum,public,true,PROGRAM_LOCATION_TYPE,Observations::Observation::type
Observations::EventTypes::ScheduleProgramLocationType,subType,DataTypes::DataItemSubTypeEnum,public,true,SCHEDULE,Observations::Observation::subType
Observations::EventTypes::MainProgramLocationType,subType,DataTypes::DataItemSubTypeEnum,public,true,MAIN,Observations::Observation::subType
Observations::EventTypes::ActiveProgramLocationType,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTIVE,Observations::Observation::subType
Observations::EventTypes::ProgramNestLevel,type,DataTypes::DataItemTypeEnum,public,true,PROGRAM_NEST_LEVEL,Observations::Observation::type
Observations::SampleTypes::Resistance,units,DataTypes::UnitEnum,public,true,OHM,Observations::Observation::units
Observations::SampleTypes::Resistance,type,DataTypes::DataItemTypeEnum,public,true,RESISTANCE,Observations::Observation::type
Observations::EventTypes::RotaryMode,type,DataTypes::DataItemTypeEnum,public,true,ROTARY_MODE,Observations::Observation::type
Observations::EventTypes::RotaryMode,value,Observations::EventTypes::RotaryModeEnum,public,false,,Observations::Observation::result
Observations::SampleTypes::RotaryVelocity,units,DataTypes::UnitEnum,public,true,REVOLUTION/MINUTE,Observations::Observation::units
Observations::SampleTypes::RotaryVelocity,type,DataTypes::DataItemTypeEnum,public,true,ROTARY_VELOCITY,Observations::Observation::type
Observations::SampleTypes::ActualRotaryVelocity,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedRotaryVelocity,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::ProgrammedRotaryVelocity,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::SampleTypes::OverrideRotaryVelocity,subType,DataTypes::DataItemSubTypeEnum,public,true,OVERRIDE,Observations::Observation::subType
Observations::EventTypes::RotaryVelocityOverride,type,DataTypes::DataItemTypeEnum,public,true,ROTARY_VELOCITY_OVERRIDE,Observations::Observation::type
Observations::EventTypes::SerialNumber,type,DataTypes::DataItemTypeEnum,public,true,SERIAL_NUMBER,Observations::Observation::type
Observations::SampleTypes::SoundLevel,units,DataTypes::UnitEnum,public,true,DECIBEL,Observations::Observation::units
Observations::SampleTypes::SoundLevel,type,DataTypes::DataItemTypeEnum,public,true,SOUND_LEVEL,Observations::Observation::type
Observations::SampleTypes::NoScaleSoundLevel,subType,DataTypes::DataItemSubTypeEnum,public,true,NO_SCALE,Observations::Observation::subType
Observations::SampleTypes::AScaleSoundLevel,subType,DataTypes::DataItemSubTypeEnum,public,true,A_SCALE,Observations::Observation::subType
Observations::SampleTypes::BScaleSoundLevel,subType,DataTypes::DataItemSubTypeEnum,public,true,B_SCALE,Observations::Observation::subType
Observations::SampleTypes::CScaleSoundLevel,subType,DataTypes::DataItemSubTypeEnum,public,true,C_SCALE,Observations::Observation::subType
Observations::SampleTypes::DScaleSoundLevel,subType,DataTypes::DataItemSubTypeEnum,public,true,D_SCALE,Observations::Observation::subType
Observations::EventTypes::SpindleInterlock,type,DataTypes::DataItemTypeEnum,public,true,SPINDLE_INTERLOCK,Observations::Observation::type
Observations::EventTypes::SpindleInterlock,value,Observations::EventTypes::ActuatorStateEnum,public,false,,Observations::Observation::result
Observations::SampleTypes::SpindleSpeed,units,DataTypes::UnitEnum,public,true,REVOLUTION/MINUTE,Observations::Observation::units
Observations::SampleTypes::SpindleSpeed,type,DataTypes::DataItemTypeEnum,public,true,SPINDLE_SPEED,Observations::Observation::type
Observations::SampleTypes::ActualSpindleSpeed,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedSpindleSpeed,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::OverrideSpindleSpeed,subType,DataTypes::DataItemSubTypeEnum,public,true,OVERRIDE,Observations::Observation::subType
Observations::SampleTypes::Strain,units,DataTypes::UnitEnum,public,true,PERCENT,Observations::Observation::units
Observations::SampleTypes::Strain,type,DataTypes::DataItemTypeEnum,public,true,STRAIN,Observations::Observation::type
Observations::ConditionTypes::System,type,DataTypes::DataItemTypeEnum,public,true,SYSTEM,Observations::Observation::type
Observations::SampleTypes::Temperature,units,DataTypes::UnitEnum,public,true,CELSIUS,Observations::Observation::units
Observations::SampleTypes::Temperature,type,DataTypes::DataItemTypeEnum,public,true,TEMPERATURE,Observations::Observation::type
Observations::SampleTypes::Tension,units,DataTypes::UnitEnum,public,true,NEWTON,Observations::Observation::units
Observations::SampleTypes::Tension,type,DataTypes::DataItemTypeEnum,public,true,TENSION,Observations::Observation::type
Observations::SampleTypes::Tilt,units,DataTypes::UnitEnum,public,true,MICRO_RADIAN,Observations::Observation::units
Observations::SampleTypes::Tilt,type,DataTypes::DataItemTypeEnum,public,true,TILT,Observations::Observation::type
Observations::EventTypes::ToolAssetId,type,DataTypes::DataItemTypeEnum,public,true,TOOL_ASSET_ID,Observations::Observation::type
Observations::EventTypes::ToolGroup,type,DataTypes::DataItemTypeEnum,public,true,TOOL_GROUP,Observations::Observation::type
Observations::EventTypes::ToolId,type,DataTypes::DataItemTypeEnum,public,true,TOOL_ID,Observations::Observation::type
Observations::EventTypes::ToolNumber,type,DataTypes::DataItemTypeEnum,public,true,TOOL_NUMBER,Observations::Observation::type
Observations::EventTypes::ToolOffset,type,DataTypes::DataItemTypeEnum,public,true,TOOL_OFFSET,Observations::Observation::type
Observations::EventTypes::RadialToolOffset,subType,DataTypes::DataItemSubTypeEnum,public,true,RADIAL,Observations::Observation::subType
Observations::EventTypes::LengthToolOffset,subType,DataTypes::DataItemSubTypeEnum,public,true,LENGTH,Observations::Observation::subType
Observations::SampleTypes::Torque,units,DataTypes::UnitEnum,public,true,NEWTON_METER,Observations::Observation::units
Observations::SampleTypes::Torque,type,DataTypes::DataItemTypeEnum,public,true,TORQUE,Observations::Observation::type
Observations::EventTypes::User,type,DataTypes::DataItemTypeEnum,public,true,USER,Observations::Observation::type
Observations::EventTypes::OperatorUser,subType,DataTypes::DataItemSubTypeEnum,public,true,OPERATOR,Observations::Observation::subType
Observations::EventTypes::MaintenanceUser,subType,DataTypes::DataItemSubTypeEnum,public,true,MAINTENANCE,Observations::Observation::subType
Observations::EventTypes::SetUpUser,subType,DataTypes::DataItemSubTypeEnum,public,true,SET_UP,Observations::Observation::subType
Observations::EventTypes::Variable,type,DataTypes::DataItemTypeEnum,public,true,VARIABLE,Observations::Observation::type
Observations::SampleTypes::Velocity,units,DataTypes::UnitEnum,public,true,MILLIMETER/SECOND,Observations::Observation::units
Observations::SampleTypes::Velocity,type,DataTypes::DataItemTypeEnum,public,true,VELOCITY,Observations::Observation::type
Observations::SampleTypes::Viscosity,units,DataTypes::UnitEnum,public,true,PASCAL_SECOND,Observations::Observation::units
Observations::SampleTypes::Viscosity,type,DataTypes::DataItemTypeEnum,public,true,VISCOSITY,Observations::Observation::type
Observations::SampleTypes::Voltage,units,DataTypes::UnitEnum,public,true,VOLT,Observations::Observation::units
Observations::SampleTypes::Voltage,type,DataTypes::DataItemTypeEnum,public,true,VOLTAGE,Observations::Observation::type
Observations::SampleTypes::AlternatingVoltage,subType,DataTypes::DataItemSubTypeEnum,public,true,ALTERNATING,Observations::Observation::subType
Observations::SampleTypes::DirectVoltage,subType,DataTypes::DataItemSubTypeEnum,public,true,DIRECT,Observations::Observation::subType
Observations::SampleTypes::ActualVoltage,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::TargetVoltage,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::SampleTypes::VoltAmpere,units,DataTypes::UnitEnum,public,true,VOLT_AMPERE,Observations::Observation::units
Observations::SampleTypes::VoltAmpere,type,DataTypes::DataItemTypeEnum,public,true,VOLT_AMPERE,Observations::Observation::type
Observations::SampleTypes::VoltAmpereReactive,units,DataTypes::UnitEnum,public,true,VOLT_AMPERE_REACTIVE,Observations::Observation::units
Observations::SampleTypes::VoltAmpereReactive,type,DataTypes::DataItemTypeEnum,public,true,VOLT_AMPERE_REACTIVE,Observations::Observation::type
Observations::SampleTypes::VolumeFluid,units,DataTypes::UnitEnum,public,true,MILLILITER,Observations::Observation::units
Observations::SampleTypes::VolumeFluid,type,DataTypes::DataItemTypeEnum,public,true,VOLUME_FLUID,Observations::Observation::type
Observations::SampleTypes::ActualVolumeFluid,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::ConsumedVolumeFluid,subType,DataTypes::DataItemSubTypeEnum,public,true,CONSUMED,Observations::Observation::subType
Observations::SampleTypes::VolumeSpatial,units,DataTypes::UnitEnum,public,true,CUBIC_MILLIMETER,Observations::Observation::units
Observations::SampleTypes::VolumeSpatial,type,DataTypes::DataItemTypeEnum,public,true,VOLUME_SPATIAL,Observations::Observation::type
Observations::SampleTypes::ActualVolumeSpatial,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::ConsumedVolumeSpatial,subType,DataTypes::DataItemSubTypeEnum,public,true,CONSUMED,Observations::Observation::subType
Observations::EventTypes::WaitState,type,DataTypes::DataItemTypeEnum,public,true,WAIT_STATE,Observations::Observation::type
Observations::SampleTypes::Wattage,units,DataTypes::UnitEnum,public,true,WATT,Observations::Observation::units
Observations::SampleTypes::Wattage,type,DataTypes::DataItemTypeEnum,public,true,WATTAGE,Observations::Observation::type
Observations::SampleTypes::ActualWattage,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::TargetWattage,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::EventTypes::Wire,type,DataTypes::DataItemTypeEnum,public,true,WIRE,Observations::Observation::type
Observations::EventTypes::WorkholdingId,type,DataTypes::DataItemTypeEnum,public,true,WORKHOLDING_ID,Observations::Observation::type
Observations::EventTypes::WorkOffset,type,DataTypes::DataItemTypeEnum,public,true,WORK_OFFSET,Observations::Observation::type
